NARA Guidance: Preferred,NARA Guidance: Acceptable,Numeric Risk Rating,Risk Level,NARA Format ID,Format Name,File Extension(s),Content Category,Is the format proprietary? ,Does the format have a published open specification?,Are there available tools that can validate the technical integrity of a file encoded in this format against the published specification? ,Has the specification been approved and published by an internationally recognized standards body? ,Is the available specification complete and accurate?,Total Disclosure Score. Highest possible score = 10; Lowest possible score = -6,Is the file format commonly used to create or maintain permanent records within the federal government?,Is the file format commonly used outside the federal government?,"Is the format actively maintained and updated by an organization, individual, or community?",Are multiple renderers available? ,Have the archives or library communities identified the format as one they prefer for creation and transfer of permanent materials?,Total Adoption Score: Highest possible score = 10; Lowest possible score = -6,Is the format human readable and can it be opened with a text editor?,Does the available specification provide enough detail to allow basic analysis of the file format with hex editors or other inspection tools?,Does the format rely on standard character or other encoding methods such as IEEE notations?,Is the source code of the software used to create the format available for little or no cost?,Is the software used to create the format supported by current computing environments?,Does the format require the use of compression?,Does the format support user-definable compression levels or other quality settings that affect essential characteristics?,Total Transparency Score. Highest possible score = 7; Lowest possible score = -7,Does the format support self-contained (embedded) descriptive metadata?,Does the format support self-contained technical metadata?,Does the format support self-contained administrative metadata?,Does the format metadata adhere to an international standard?,Is the format metadata robust enough for an accurate file analysis?,Total Self-Documentation Score. Highest possible score = 7; Lowest possible score = -5,"Does the format require a specific hardware environment, such as a specific graphics card, chipset, or memory requirements, to process or interact with it?","Does the format require specific playback hardware (e.g., Blu-Ray, Audio CD, etc) to transfer the format to the NARA environment?",Total External Hardware Dependencies Score. Highest possible score = 4; Lowest possible score = -8,Does the format rely on proprietary software to render or view files? ,"Does the format rely on plug-ins, scripts, etc. to render or view files?",Does the format rely on specific computing operating system(s) to render or view files?,Does the format rely on special tools to render or view files?,Total External Software Dependencies Score. Highest possible score = 4; Lowest possible score = -8,Is the format subject to patent claims that may impede the development of open source tools for opening and managing the files?,Have the patent claims expired?,Are there fees associated with the format as a result of patent claims?,Does the format have open source license terms?,Total Impact of Patents Score. Highest possible score = 4; Lowest possible score = -4,Does the format have capability to encrypt all or part of the resulting file?,Does the format require the use of encryption?,Does the format support robust encryption? ,Can technical protection measures (e.g. digital rights management) be applied?,Does the format allow for embedded information such as watermarking? ,Total Technical Protection Mechanisms Score. Highest possible score = 10; Lowest possible score = -6,When was the Format Specification First Created?,Risk Factor: Highest Possible score = 0; Lowest possible score = -4,When was the Format Specification last updated?,Risk Factor: Highest Possible score = 0; Lowest possible score = -4,Total Format Age Score. Highest possible score = 0; Lowest possible score = -8,Total Format Risk/Sustainability Factor Numeric Score ,Risk/Sustainability Factor Status,
,,-26.00,High Risk,NF00241,MacPaint Image,pntg; mac; pic,Digital Still Image,-1,-1,-1,-2,-1,-6,-2,-1,-1,-1,-1,-6,-1,-1,0,-1,-1,0,0,-4,0,0,0,-1,-1,-2,-4,2,-2,-2,0,-2,0,-4,-1,0,0,-1,-2,0,0,0,0,0,0,1984,-4,1988,-4,0,-26.00,High Risk,
,,15.00,Moderate Risk,NF00242,Macromedia Flash 6,swf,Software,-1,2,2,-2,2,3,-2,-1,-1,2,-1,-3,-1,0,0,-1,1,1,0,0,-1,0,-1,0,0,-2,2,2,4,1,1,1,-2,1,0,0,1,1,2,2,2,2,2,2,10,1996,-4,2004,-2,0,15.00,Moderate Risk,
,,17.00,Moderate Risk,NF00243,Macromedia Flash 7,swf,Software,-1,2,2,-2,2,3,-2,-1,-1,2,-1,-3,-1,0,0,1,1,1,0,2,-1,0,-1,0,0,-2,2,2,4,1,1,1,-2,1,0,0,1,1,2,2,2,2,2,2,10,2005,-2,2013,-2,0,17.00,Moderate Risk,
,,14.00,Moderate Risk,NF00244,Maker Interchange Format,mif,CAD/3D/Vector Graphics,-1,2,2,-2,1,2,2,2,2,2,-1,7,1,1,1,-1,1,0,1,4,0,1,1,-1,2,3,2,2,4,-2,-2,1,-2,-5,-1,1,0,-1,-1,0,0,0,0,0,0,1995,-4,2018,0,0,14.00,Moderate Risk,
,X,34.00,Low Risk,NF00245,Material Exchange Format ,mxf,Digital Video,2,2,2,2,2,10,2,2,2,2,2,10,-1,-1,0,1,1,-1,1,0,1,1,1,0,1,4,2,2,4,1,1,1,-2,1,1,1,1,1,4,-1,2,-1,-1,2,1,2004,-2,2011,-2,0,34.00,Low Risk,
,,0.00,Moderate Risk,NF00246,Mathematica Notebook,nb,Multimedia,-1,-1,0,0,0,-2,-2,2,2,-1,-1,0,0,0,-1,-1,1,0,0,-1,0,0,0,-1,0,-1,2,2,4,-2,1,1,1,1,0,0,0,-1,-1,0,0,0,0,0,0,,-4,,-4,0,0.00,Moderate Risk,
X,,40.00,Low Risk,NF00247,MBOX Email Format,mbox,Email,2,2,2,-1,-1,4,2,2,2,2,2,10,1,1,1,1,1,1,0,6,1,1,1,2,1,6,2,2,4,1,1,1,1,4,1,0,0,1,2,-1,2,-1,2,2,4,2001,-4,2013,-2,0,40.00,Low Risk,
,,8.00,,NF00248,MET Metafile,met,Digital Still Image,-1,2,0,-2,2,1,-2,-2,-1,0,-1,-6,0,1,0,1,1,1,0,4,0,1,0,0,0,1,2,2,4,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1987,-4,2001,-4,0,8.00,Moderate Risk,
,,-14.00,High Risk,NF00249,Micrografx Designer 3.1,drw ,CAD/3D/Vector Graphics,-1,-1,2,-2,-1,-3,0,0,0,-1,-1,-2,-1,-1,,,1,,,-1,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,1,-2,-5,,,,,0,,,,,,0,1992,-4,1992,-4,0,-14.00,High Risk,
,,-14.00,High Risk,NF00250,Micrografx Draw 2.0,drw ,CAD/3D/Vector Graphics,-1,-1,2,-2,-1,-3,0,0,0,-1,-1,-2,-1,-1,,,1,,,-1,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,1,-2,-5,,,,,0,,,,,,0,1994,-4,1994,-4,0,-14.00,High Risk,
,,-14.00,High Risk,NF00251,Micrografx Draw 3.0,drw,CAD/3D/Vector Graphics,-1,-1,2,-2,-1,-3,0,0,0,-1,-1,-2,-1,-1,,,1,,,-1,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,1,-2,-5,,,,,0,,,,,,0,1991,-4,1991,-4,0,-14.00,High Risk,
,,-14.00,High Risk,NF00252,Micrografx Draw 4.0,dsf; ds4,CAD/3D/Vector Graphics,-1,-1,2,-2,-1,-3,0,0,0,-1,-1,-2,-1,-1,,,1,,,-1,-1,-1,-1,-1,-1,-5,2,0,2,-2,-2,1,-2,-5,,,,,0,,,,,,0,1996,-4,1996,-4,0,-14.00,High Risk,
,,12.00,Moderate Risk,NF00253,Microsoft Access 2000,mdb,Database,-1,-1,2,0,0,0,-2,2,-1,-1,2,0,-1,0,1,-1,1,1,0,1,1,-1,1,-1,2,2,2,2,4,-2,1,1,1,1,1,0,0,0,1,-1,2,2,0,0,3,,-4,,-4,0,12.00,Moderate Risk,
,,12.00,Moderate Risk,NF00256,Microsoft Access 2002/2003/2007,mdb,Database,-1,-1,2,0,0,0,-2,2,-1,-1,2,0,-1,0,1,-1,1,1,0,1,1,-1,1,-1,2,2,2,2,4,-2,1,1,1,1,1,0,0,0,1,-1,2,2,0,0,3,2001,-4,2007,-2,0,12.00,Moderate Risk,
,,12.00,Moderate Risk,NF00254,Microsoft Access 2007/2010/2013/2016,accdb; accde; accdr; accdt; accfl,Database,-1,-1,-1,0,0,-3,-2,2,-1,2,-1,0,1,0,0,-1,1,1,1,3,1,1,1,0,0,3,2,2,4,1,1,1,1,4,0,0,0,-1,-1,-1,2,-1,0,2,2,2007,-2,2016,0,0,12.00,Moderate Risk,
,,12.00,Moderate Risk,NF00255,Microsoft Access 97,mdb,Database,-1,-1,2,0,0,0,-2,2,-1,-1,2,0,-1,0,1,-1,1,1,0,1,1,-1,1,-1,2,2,2,2,4,-2,1,1,1,1,1,0,0,0,1,-1,2,2,0,0,3,,-4,,-4,0,12.00,Moderate Risk,
,,-3.00,Moderate Risk,NF00257,Microsoft Active Server Page,asp; aspx,Software,-1,-1,-1,-2,-1,-6,-2,0,-1,-1,-1,-5,1,1,0,-1,1,1,1,4,0,1,-1,0,0,0,2,2,4,-2,-2,-2,1,-5,0,0,0,-1,-1,2,2,0,0,2,6,2000,-4,2002,-4,0,-3.00,Moderate Risk,
,,6.00,Moderate Risk,NF00258,Microsoft Enhanced Metafile Graphics file,emf; wmf; emx; wmz,CAD/3D/Vector Graphics,-1,2,2,-2,2,3,-2,2,2,2,-1,3,-1,1,0,-1,1,1,-1,0,0,1,1,0,0,2,2,2,4,-2,-2,1,-2,-5,0,0,0,0,0,0,0,0,-1,0,-1,1990,-4,2017,0,0,6.00,Moderate Risk,
,,11.00,Moderate Risk,NF00259,Microsoft Excel 2.1,xls,Spreadsheet,-1,-1,2,0,0,0,2,2,-1,-1,2,4,0,0,1,-1,0,1,0,1,1,-1,1,-1,0,0,2,2,4,0,1,1,1,3,-1,-1,1,1,0,-1,2,-1,0,-1,-1,,-4,,-4,0,11.00,Moderate Risk,
,X,25.00,Low Risk,NF00260,Microsoft Excel 2000-2003,xls,Spreadsheet,-1,2,2,-1,2,4,2,2,2,2,2,10,-1,1,1,-1,1,1,1,3,1,-1,1,-1,-1,-1,2,2,4,1,1,1,1,4,-1,-1,1,1,0,-1,2,-1,2,-1,1,2008,-2,2018,0,0,25.00,Low Risk,
,,11.00,Moderate Risk,NF00261,Microsoft Excel 3.0,xls,Spreadsheet,-1,-1,2,0,0,0,2,2,-1,-1,2,4,0,0,1,-1,0,1,0,1,1,-1,1,-1,0,0,2,2,4,0,1,1,1,3,-1,-1,1,1,0,-1,2,-1,0,-1,-1,,-4,,-4,0,11.00,Moderate Risk,
,,16.00,Moderate Risk,NF00262,Microsoft Excel 4.0,xls,Spreadsheet,-1,-1,2,0,0,0,2,2,-1,2,2,7,0,0,1,-1,1,1,0,2,1,-1,1,-1,0,0,2,2,4,1,1,1,1,4,-1,-1,1,1,0,-1,2,-1,0,-1,-1,,-4,,-4,0,16.00,Moderate Risk,
,X,25.00,Low Risk,NF00263,Microsoft Excel 97,xls; xlt; xlm,Spreadsheet,-1,2,2,-1,2,4,2,2,2,2,2,10,-1,1,1,-1,1,1,1,3,1,-1,1,-1,-1,-1,2,2,4,1,1,1,1,4,-1,-1,1,1,0,-1,2,-1,2,-1,1,1987,-4,2003,-4,0,25.00,Low Risk,
,,4.00,Moderate Risk,NF00264,Microsoft Excel Backup,xlk,Spreadsheet,-1,-1,-1,0,0,-3,-2,-1,2,2,0,1,0,0,0,-1,1,0,0,0,0,0,0,-1,0,-1,2,2,4,1,1,1,1,4,-1,-1,1,1,0,-1,2,-1,0,-1,-1,,-4,,-4,0,4.00,Moderate Risk,
,,9.00,Moderate Risk,NF00265,Microsoft Excel for Macintosh 2001,xls,Spreadsheet,-1,-1,-1,0,0,-3,0,2,-1,2,0,3,0,0,1,-1,1,1,0,2,1,-1,1,-1,0,0,2,2,4,1,1,1,1,4,-1,-1,1,1,0,-1,2,-1,0,-1,-1,,-4,,-4,0,9.00,Moderate Risk,
,,9.00,Moderate Risk,NF00266,Microsoft Excel for Macintosh 2002,xls,Spreadsheet,-1,-1,-1,0,0,-3,0,2,-1,2,0,3,0,0,1,-1,1,1,0,2,1,-1,1,-1,0,0,2,2,4,1,1,1,1,4,-1,-1,1,1,0,-1,2,-1,0,-1,-1,,-4,,-4,0,9.00,Moderate Risk,
,,9.00,Moderate Risk,NF00267,Microsoft Excel for Macintosh 2004,xls,Spreadsheet,-1,-1,-1,0,0,-3,0,2,-1,2,0,3,0,0,1,-1,1,1,0,2,1,-1,1,-1,0,0,2,2,4,1,1,1,1,4,-1,-1,1,1,0,-1,2,-1,0,-1,-1,,-4,,-4,0,9.00,Moderate Risk,
,,4.00,Moderate Risk,NF00268,Microsoft Excel for Macintosh 3.0,xls,Spreadsheet,-1,-1,-1,0,0,-3,0,2,-1,-1,0,0,0,0,1,-1,0,1,0,1,1,-1,1,-1,0,0,2,2,4,0,1,1,1,3,-1,-1,1,1,0,-1,2,-1,0,-1,-1,,-4,,-4,0,4.00,Moderate Risk,
,,9.00,Moderate Risk,NF00269,Microsoft Excel for Macintosh 4.0,xls,Spreadsheet,-1,-1,-1,0,0,-3,0,2,-1,2,0,3,0,0,1,-1,1,1,0,2,1,-1,1,-1,0,0,2,2,4,1,1,1,1,4,-1,-1,1,1,0,-1,2,-1,0,-1,-1,,-4,,-4,0,9.00,Moderate Risk,
,,9.00,Moderate Risk,NF00270,Microsoft Excel for Macintosh 98,xls,Spreadsheet,-1,-1,-1,0,0,-3,0,2,-1,2,0,3,0,0,1,-1,1,1,0,2,1,-1,1,-1,0,0,2,2,4,1,1,1,1,4,-1,-1,1,1,0,-1,2,-1,0,-1,-1,,-4,,-4,0,9.00,Moderate Risk,
,,9.00,Moderate Risk,NF00271,Microsoft Excel for Macintosh v.X,xls,Spreadsheet,-1,-1,-1,0,0,-3,0,2,-1,2,0,3,0,0,1,-1,1,1,0,2,1,-1,1,-1,0,0,2,2,4,1,1,1,1,4,-1,-1,1,1,0,-1,2,-1,0,-1,-1,,-4,,-4,0,9.00,Moderate Risk,
,X,31.00,Low Risk,NF00272,Microsoft Excel Office Open XML,xlxs; xlsm,Spreadsheet,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,-1,1,-1,1,3,1,-1,1,2,-1,2,2,2,4,-2,1,1,1,1,-1,-1,1,1,0,-1,2,-1,2,-1,1,2006,-2,2016,0,0,31.00,Low Risk,
,,6.00,Moderate Risk,NF00273,Microsoft Excel Workspace,xlw,Spreadsheet,-1,-1,-1,0,0,-3,-2,-1,-1,2,2,0,0,0,0,-1,1,0,0,0,0,0,0,-1,0,-1,2,2,4,0,1,1,1,3,-1,-1,1,1,0,0,2,-1,0,2,3,,-4,,-4,0,6.00,Moderate Risk,
,,4.00,Moderate Risk,NF00276,Microsoft FrontPage Binary Tree Index,btr,Software,2,-1,-1,-2,0,-2,-2,2,-1,2,-1,0,-1,0,0,-1,-1,0,0,-3,-1,1,-1,0,0,-1,2,2,4,0,1,1,0,2,0,0,0,0,0,2,0,0,0,2,4,1995,-4,2007,-2,0,4.00,Moderate Risk,
,,13.00,Moderate Risk,NF00277,Microsoft FrontPage Server Extension Configuration,frontpageini; frontpagecnf,Software,2,-1,-1,-2,0,-2,-2,2,-1,2,-1,0,1,0,0,1,1,1,1,5,-1,1,-1,0,0,-1,2,2,4,0,1,1,1,3,0,0,0,0,0,2,0,0,0,2,4,1995,-4,2007,-2,0,13.00,Moderate Risk,
,,5.00,Moderate Risk,NF00278,Microsoft Multiplan 4.0,mp,Spreadsheet,-1,-1,0,0,0,-2,-2,0,-1,-1,-1,-5,0,0,0,1,1,1,0,3,1,0,0,-1,0,0,2,2,4,-2,1,1,1,1,1,-1,1,-1,0,0,2,0,0,2,4,,-4,,-4,0,5.00,Moderate Risk,
,X,30.00,Low Risk,NF00279,Microsoft Office 2007 Open XML,pptx; pptm; potx; potm; ppam; ppsx; ppsm; sldx; sldm; thmx,Presentation/Publishing,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,-1,1,-1,1,3,1,-1,1,2,-1,2,2,2,4,1,1,1,1,4,-1,-1,-1,-1,-4,-1,2,-1,2,-1,1,2007,-2,2016,0,0,30.00,Low Risk,
,,19.00,Moderate Risk,NF00343,Microsoft OLE Compound Format,ole; ole2,Software,-1,2,2,0,0,3,2,2,2,2,-1,7,1,1,0,0,1,0,0,3,1,0,0,-1,0,0,2,2,4,1,0,1,1,3,0,0,0,-1,-1,0,0,0,0,0,0,2010,-2,2018,0,0,19.00,Moderate Risk,
,X,35.00,Low Risk,NF00280,Microsoft Outlook Email Item ,msg,Email,-1,2,2,-1,2,4,2,2,2,2,2,10,1,1,1,0,1,1,0,5,1,1,1,2,2,7,2,2,4,1,1,1,1,4,1,-1,1,-1,0,-1,2,-1,-1,2,1,2008,-2,2016,0,0,35.00,Low Risk,
,X,19.00,Moderate Risk,NF00281,Microsoft Outlook Personal Folder,pst,Email,-1,-1,2,-1,-1,-2,2,2,2,2,2,10,-1,1,0,-1,1,1,-1,0,1,1,1,2,2,7,2,2,4,-2,0,1,-2,-3,-1,1,1,0,1,-1,2,0,-1,2,2,1997,-4,2013,-2,0,19.00,Moderate Risk,
,X,19.00,Moderate Risk,NF00282,Microsoft Outlook Personal Folder ANSI 1997-2002,pst,Email,-1,-1,2,-1,-1,-2,2,2,2,2,2,10,-1,1,0,-1,1,1,-1,0,1,1,1,2,2,7,2,2,4,-2,0,1,-2,-3,-1,1,1,0,1,-1,2,0,-1,2,2,1997,-4,2013,-2,0,19.00,Moderate Risk,
,X,19.00,Moderate Risk,NF00283,Microsoft Outlook Personal Folder Unicode 2003-2007,pst,Email,-1,-1,2,-1,-1,-2,2,2,2,2,2,10,-1,1,0,-1,1,1,-1,0,1,1,1,2,2,7,2,2,4,-2,0,1,-2,-3,-1,1,1,0,1,-1,2,0,-1,2,2,1997,-4,2013,-2,0,19.00,Moderate Risk,
,X,25.00,Low Risk,NF00284,Microsoft PowerPoint 97-2002,ppt,Presentation/Publishing,-1,2,2,-1,2,4,2,2,2,2,2,10,-1,1,1,-1,1,1,1,3,1,-1,1,-1,-1,-1,2,2,4,1,1,1,1,4,-1,-1,1,1,0,-1,2,-1,2,-1,1,1997,-4,2003,-4,0,25.00,Low Risk,
,,3.00,Moderate Risk,NF00285,Microsoft PowerPoint for Macintosh 2001,ppt,Presentation/Publishing,-1,-1,-1,0,0,-3,0,2,-1,-1,0,0,-1,0,1,-1,1,1,1,2,1,-1,1,-1,-1,-1,2,2,4,-2,1,1,1,1,0,1,0,-1,0,-1,2,0,0,-1,0,,-4,,-4,0,3.00,Moderate Risk,
,,3.00,Moderate Risk,NF00286,Microsoft PowerPoint for Macintosh 4.0,ppt,Presentation/Publishing,-1,-1,-1,0,0,-3,0,2,-1,-1,0,0,-1,0,1,-1,1,1,1,2,1,-1,1,-1,-1,-1,2,2,4,-2,1,1,1,1,0,1,0,-1,0,-1,2,0,0,-1,0,,-4,,-4,0,3.00,Moderate Risk,
,,3.00,Moderate Risk,NF00287,Microsoft PowerPoint for Macintosh 98,ppt,Presentation/Publishing,-1,-1,-1,0,0,-3,0,2,-1,-1,0,0,-1,0,1,-1,1,1,1,2,1,-1,1,-1,-1,-1,2,2,4,-2,1,1,1,1,0,1,0,-1,0,-1,2,0,0,-1,0,,-4,,-4,0,3.00,Moderate Risk,
,,3.00,Moderate Risk,NF00288,Microsoft PowerPoint for Macintosh v.X,ppt,Presentation/Publishing,-1,-1,-1,0,0,-3,0,2,-1,-1,0,0,-1,0,1,-1,1,1,1,2,1,-1,1,-1,-1,-1,2,2,4,-2,1,1,1,1,0,1,0,-1,0,-1,2,0,0,-1,0,,-4,,-4,0,3.00,Moderate Risk,
,X,31.00,Low Risk,NF00289,Microsoft Powerpoint Office Open XML,,Presentation/Publishing,2,2,2,2,2,10,2,2,2,2,2,10,1,1,1,-1,1,-1,1,3,1,-1,1,2,-1,2,2,2,4,-2,1,1,1,1,-1,-1,1,1,0,-1,2,-1,2,-1,1,2006,-2,2016,0,0,31.00,Low Risk,
,,10.00,Moderate Risk,NF00290,Microsoft Powerpoint Presentation 4.0,ppt,Presentation/Publishing,-1,-1,2,0,0,0,2,2,-1,-1,2,4,-1,0,1,-1,1,1,1,2,1,-1,1,-1,-1,-1,2,2,4,-2,1,1,1,1,0,1,0,-1,0,-1,2,0,0,-1,0,,-4,,-4,0,10.00,Moderate Risk,
,,10.00,Moderate Risk,NF00291,Microsoft Powerpoint Presentation 95,ppt,Presentation/Publishing,-1,-1,2,0,0,0,2,2,-1,-1,2,4,-1,0,1,-1,1,1,1,2,1,-1,1,-1,-1,-1,2,2,4,-2,1,1,1,1,0,1,0,-1,0,-1,2,0,0,-1,0,,-4,,-4,0,10.00,Moderate Risk,
,,30.00,Low Risk,NF00292,Microsoft Print File,xps,Presentation/Publishing,-1,2,-1,2,2,4,-2,2,2,2,-1,3,1,1,1,1,1,1,0,6,1,1,1,0,2,5,2,2,4,1,1,1,1,4,-1,1,1,1,2,0,2,0,0,0,2,2009,-2,2009,-2,0,30.00,Low Risk,
,,5.00,Moderate Risk,NF00293,Microsoft Publisher 2.0,pub,Presentation/Publishing,-1,-1,-1,0,0,-3,-2,2,2,-1,-1,0,0,0,0,-1,0,1,0,0,1,-1,1,-1,0,0,2,2,4,0,1,1,1,3,0,0,0,-1,-1,0,2,0,0,0,2,,-4,,-4,0,5.00,Moderate Risk,
,,10.00,Moderate Risk,NF00294,Microsoft Publisher 2000,pub,Presentation/Publishing,-1,-1,-1,0,0,-3,-2,2,2,2,-1,3,0,0,0,-1,1,1,0,1,1,-1,1,-1,0,0,2,2,4,1,1,1,1,4,0,0,0,-1,-1,0,2,0,0,0,2,,-4,,-4,0,10.00,Moderate Risk,
,,13.00,Moderate Risk,NF00295,Microsoft Publisher 2002,pub,Presentation/Publishing,-1,-1,-1,0,0,-3,-2,2,2,2,2,6,0,0,0,-1,1,1,0,1,1,-1,1,-1,0,0,2,2,4,1,1,1,1,4,0,0,0,-1,-1,0,2,0,0,0,2,,-4,,-4,0,13.00,Moderate Risk,
,,6.00,Moderate Risk,NF00296,Microsoft Publisher 95,pub,Presentation/Publishing,-1,-1,-1,0,0,-3,-2,2,2,-1,-1,0,0,0,0,-1,1,1,0,1,1,-1,1,-1,0,0,2,2,4,0,1,1,1,3,0,0,0,-1,-1,0,2,0,0,0,2,,-4,,-4,0,6.00,Moderate Risk,
,,6.00,Moderate Risk,NF00297,Microsoft Publisher 97,pub,Presentation/Publishing,-1,-1,-1,0,0,-3,-2,2,2,-1,-1,0,0,0,0,-1,1,1,0,1,1,-1,1,-1,0,0,2,2,4,0,1,1,1,3,0,0,0,-1,-1,0,2,0,0,0,2,,-4,,-4,0,6.00,Moderate Risk,
,,10.00,Moderate Risk,NF00298,Microsoft Publisher 98,pub,Presentation/Publishing,-1,-1,-1,0,0,-3,-2,2,2,2,-1,3,0,0,0,-1,1,1,0,1,1,-1,1,-1,0,0,2,2,4,1,1,1,1,4,0,0,0,-1,-1,0,2,0,0,0,2,,-4,,-4,0,10.00,Moderate Risk,
,,13.00,Moderate Risk,NF00299,Microsoft Visio Diagram,vsd,CAD/3D/Vector Graphics,-1,-1,2,-2,0,-2,2,2,2,2,-1,7,-1,1,0,-1,1,1,-1,0,1,1,1,0,0,3,2,2,4,1,-2,-2,-2,-5,0,0,0,0,0,2,2,2,0,0,6,1992,-4,2016,0,0,13.00,Moderate Risk,
,,39.00,Low Risk,NF00300,Microsoft Visio XML Drawing file,vsdx,CAD/3D/Vector Graphics,-1,2,2,2,2,7,2,2,2,2,2,10,1,1,1,-1,1,1,1,5,1,1,1,0,0,3,2,2,4,1,1,1,1,4,0,0,0,0,0,2,2,2,0,0,6,2013,-2,2018,0,0,39.00,Low Risk,
,,8.00,Moderate Risk,NF00301,Microsoft Windows Internet Shortcut,url,Software,-1,2,2,-2,2,3,-2,2,2,0,-1,1,-1,0,0,-1,1,1,1,1,-1,1,-1,-1,0,-2,2,2,4,-2,-2,-2,-2,-8,0,0,0,-1,-1,2,2,2,2,2,10,1995,-4,2018,0,0,8.00,Moderate Risk,
,X,22.00,Moderate Risk,NF00302,Microsoft Word 6/95,doc; dot,Textual,-1,2,2,-1,2,4,2,2,2,2,-1,7,-1,1,1,-1,1,1,1,3,1,-1,1,-1,-1,-1,2,2,4,1,1,1,1,4,-1,-1,1,1,0,-1,2,-1,2,-1,1,1993,-4,1994,-4,0,22.00,Moderate Risk,
,X,22.00,Moderate Risk,NF00303,Microsoft Word 97-2003,doc; dot,Textual,-1,2,2,-1,2,4,2,2,2,2,-1,7,-1,1,1,-1,1,1,1,3,1,-1,1,-1,-1,-1,2,2,4,1,1,1,1,4,-1,-1,1,1,0,-1,2,-1,2,-1,1,1997,-4,2003,-4,0,22.00,Moderate Risk,
,,17.00,Moderate Risk,NF00304,Microsoft Word Backup File,wbk,Textual,-1,-1,0,0,0,-2,2,2,2,2,2,10,-1,0,0,-1,1,1,0,0,1,0,1,-1,0,1,2,2,4,1,1,1,1,4,0,0,0,0,0,-1,2,0,0,-1,0,,-4,,-4,0,17.00,Moderate Risk,
,,6.00,Moderate risk,NF00305,Microsoft Word for Macintosh 5.0/5.2,doc,Textual,-1.00,2.00,2.00,0.00,0.00,3.00,-2.00,2.00,0.00,2.00,-1.00,1.00,1.00,1.00,0.00,1.00,-1.00,1.00,-1.00,2.00,1.00,1.00,1.00,0.00,0.00,3.00,2,2,4,-2.00,-2.00,-2.00,0.00,-6.00,-1.00,1.00,0.00,-1.00,-1.00,-1.00,2.00,0.00,0.00,-1.00,0.00,1997,-4,2018,0,0,6.00,Moderate risk,
,,12.00,Moderate Risk,NF00306,Microsoft Word for Macintosh 6.0,doc,Textual,-1,2,-1,-2,-1,-3,0,0,2,2,0,4,1,1,0,0,1,1,0,4,1,1,1,0,0,3,2,2,4,-2,0,1,1,0,-1,1,1,-1,0,-1,2,0,0,-1,0,1993,-4,2015,0,0,12.00,Moderate Risk,
,,13.00,Moderate Risk,NF00307,Microsoft Word for Macintosh X,doc,Textual,-1,2,0,-2,-1,-2,-2,2,2,2,0,4,1,1,0,0,1,1,0,4,1,1,1,0,0,3,2,2,4,-2,0,1,1,0,-1,1,1,-1,0,-1,2,0,0,-1,0,2001,-4,2008,-2,0,13.00,Moderate Risk,
,X,15.00,Moderate Risk,NF00308,Microsoft Word for MS-DOS 3,doc,Textual,-1,2,2,-2,-1,0,-2,2,2,2,0,4,1,1,0,0,1,1,0,4,1,1,1,0,0,3,2,2,4,-2,0,1,1,0,-1,1,1,-1,0,-1,2,0,0,-1,0,1990,-4,2012,-2,0,15.00,Moderate Risk,
,,15.00,Moderate Risk,NF00309,Microsoft Word for MS-DOS 4/5/5.5,doc,Textual,-1,2,2,-2,-1,0,-2,2,2,2,0,4,1,1,0,0,1,1,0,4,1,1,1,0,0,3,2,2,4,-2,0,1,1,0,-1,1,1,-1,0,-1,2,0,0,-1,0,1987,-4,1989,-4,0,15.00,Moderate Risk,
,,1.00,Moderate risk,NF00310,Microsoft Word for Windows 2.0,doc,Textual,-1,-1,0,-2,0,-4.00,-2,-2,-1,2,-1,-4,1,-1,0,0,1,1,0,2,1,1,1,-1,-1,1,2,2,4,1,1,1,1,4,-1,0,0,-1,-2,-1,2,0,0,-1,0,1987,-4,1987,-4,0,1.00,Moderate risk,
,Yes,24.00,Low Risk,NF00311,Microsoft Word for Windows 2007,doc; docx,Textual,-1,2,2,2,2,7.00,-2,2,2,2,2,6,1,1,0,0,1,1,-1,3,1,1,1,2,0,5,2,2,4,1,-2,1,1,1,-1,0,0,1,0,-1,2,-1,-1,-1,-2,2007,-2,2011,-2,0,24.00,Low Risk,
,,16.00,Moderate risk,NF00312,Microsoft Word for Windows Macro,docm,Textual,-1.00,2,2,0,0,3.00,-2,2,2,2,0,4,1,1,0,0,1,-1,-1,1,1,1,1,0,0,3,2,2,4,1,0,1,1,3,-1,1,0,-1,-1,-1,2,0,-1,-1,-1,2007,-2,2016,0,0,16.00,Moderate risk,
,X,17.00,Moderate Risk,NF00313,Microsoft Word Office,doc,Textual,-1,-1,2,-1,-1,-2,2,2,2,2,2,10,1,-1,-1,-1,1,1,0,0,1,1,1,2,2,7,2,2,4,-1,-1,2,-1,-1,-1,-1,-1,-1,-4,0,2,0,-1,2,3,1983,-4,2007,-2,0,17.00,Moderate Risk,
